city,loc,embedding-1,embedding-2,embedding-3,embedding-4,embedding-5,embedding-6,embedding-7,embedding-8
A,0,1,1,1.53E-09,1,1,1,1,0.999999404
A,1,1,1,1.77E-13,1,1,1,1,1
A,2,1,1,1.84E-15,1,1,1,1,1
A,3,1,1,2.37E-17,1,1,1,1,1
A,4,1,1,4.76E-19,1,1,1,1,1
A,5,1,1,2.33E-17,1,1,1,1,1
A,6,1,1,4.95E-17,1,1,1,1,1
A,7,1,1,9.84E-21,1,1,1,1,1
A,8,1,1,4.09E-21,1,1,1,1,1
A,9,1,1,3.92E-23,1,1,1,1,1
A,10,1,1,2.42E-22,1,1,1,1,1
A,11,1,1,4.34E-20,1,1,1,1,1
A,12,1,1,1.55E-19,1,1,1,1,1
A,13,1,1,1.42E-23,1,1,1,1,1
A,14,1,1,7.95E-21,1,1,1,1,1
A,15,1,1,1.60E-21,1,1,1,1,1
A,16,1,1,1.17E-21,1,1,1,1,1
A,17,1,1,9.12E-20,1,1,1,1,1
A,18,1,1,5.19E-24,1,1,1,1,1
A,19,1,1,1.45E-22,1,1,1,1,1
A,20,1,1,2.92E-22,1,1,1,1,1
A,21,1,1,3.90E-18,1,1,1,1,1
A,22,1,1,8.66E-16,1,1,1,1,1
A,23,1,1,1.11E-14,1,1,1,1,1
A,24,1,1,8.29E-14,1,1,1,1,1
A,25,1,1,1.95E-18,1,1,1,1,1
A,26,1,1,1.18E-21,1,1,1,1,1
A,27,1,1,5.94E-18,1,1,1,1,1
A,28,1,1,2.66E-20,1,1,1,1,1
A,29,1,1,1.23E-27,1,1,1,1,1
A,30,1,1,6.82E-24,1,1,1,1,1
A,31,1,1,2.27E-23,1,1,1,1,1
A,32,1,1,2.84E-20,1,1,1,1,1
A,33,1,1,2.18E-18,1,1,1,1,1
A,34,1,1,2.35E-20,1,1,1,1,1
A,35,1,1,5.09E-21,1,1,1,1,1
A,36,1,1,1.93E-22,1,1,1,1,1
A,37,1,1,1.11E-22,1,1,1,1,1
A,38,1,1,1.16E-26,1,1,1,1,1
A,39,1,1,1.23E-28,1,1,1,1,1
A,40,1,1,5.64E-27,1,1,1,1,1
A,41,1,1,9.08E-24,1,1,1,1,1
A,42,1,1,6.60E-24,1,1,1,1,1
A,43,1,1,7.60E-24,1,1,1,1,1
A,44,1,1,4.63E-21,1,1,1,1,1
A,45,1,1,1.99E-19,1,1,1,1,1
A,46,1,1,6.18E-21,1,1,1,1,1
A,47,1,1,1.01E-22,1,1,1,1,1
A,48,1,1,7.18E-19,1,1,1,1,1
A,49,1,1,4.82E-25,1,1,1,1,1
A,50,1,1,3.22E-27,1,1,1,1,1
A,51,1,1,4.61E-28,1,1,1,1,1
A,52,1,1,7.08E-25,1,1,1,1,1
A,53,1,1,1.87E-26,1,1,1,1,1
A,54,1,1,8.46E-22,1,1,1,1,1
A,55,1,1,1.67E-22,1,1,1,1,1
A,56,1,1,6.15E-23,1,1,1,1,1
A,57,1,1,1.53E-21,1,1,1,1,1
A,58,1,1,1.98E-11,1,1,1,1,1
A,59,1,1,2.16E-16,1,1,1,1,1
A,60,1,1,1.16E-21,1,1,1,1,1
A,61,1,1,7.37E-23,1,1,1,1,1
A,62,1,1,5.54E-25,1,1,1,1,1
A,63,1,1,1.49E-20,1,1,1,1,1
A,64,1,1,1.95E-27,1,1,1,1,1
A,65,1,1,3.59E-29,1,1,1,1,1
A,66,1,1,2.68E-26,1,1,1,1,1
A,67,1,1,8.00E-29,1,1,1,1,1
A,68,1,1,3.01E-25,1,1,1,1,1
A,69,1,1,6.92E-24,1,1,1,1,1
A,70,1,1,3.31E-23,1,1,1,1,1
A,71,1,1,1.37E-21,1,1,1,1,1
A,72,1,1,6.22E-18,1,1,1,1,1
A,73,1,1,2.29E-20,1,1,1,1,1
A,74,1,1,1.66E-20,1,1,1,1,1
A,75,1,1,5.66E-23,1,1,1,1,1
A,76,1,1,8.74E-20,1,1,1,1,1
A,77,1,1,2.67E-18,1,1,1,1,1
A,78,1,1,1.09E-24,1,1,1,1,1
A,79,1,1,2.11E-24,1,1,1,1,1
A,80,1,1,3.41E-23,1,1,1,1,1
A,81,1,1,4.67E-23,1,1,1,1,1
A,82,1,1,4.23E-21,1,1,1,1,1
A,83,1,1,4.36E-24,1,1,1,1,1
A,84,1,1,1.64E-22,1,1,1,1,1
A,85,1,1,5.13E-15,1,1,1,1,1
A,86,1,1,1.07E-11,1,1,1,1,1
A,87,1,1,8.27E-26,1,1,1,1,1
A,88,1,1,2.43E-25,1,1,1,1,1
A,89,1,1,2.24E-22,1,1,1,1,1
A,90,1,1,4.85E-20,1,1,1,1,1
A,91,1,1,6.35E-18,1,1,1,1,1
A,92,1,1,2.54E-25,1,1,1,1,1
A,93,1,1,4.43E-25,1,1,1,1,1
A,94,1,1,2.09E-20,1,1,1,1,1
A,95,1,1,3.09E-19,1,1,1,1,1
A,96,1,1,1.27E-19,1,1,1,1,1
A,97,1,1,6.24E-18,1,1,1,1,1
A,98,1,1,2.37E-27,1,1,1,1,1
A,99,1,1,1.02E-23,1,1,1,1,1
A,100,1,1,8.89E-20,1,1,1,1,1
A,101,1,1,1.02E-23,1,1,1,1,1
A,102,1,1,1.05E-22,1,1,1,1,1
A,103,1,1,1.21E-15,1,1,1,1,1
A,104,1,1,4.04E-25,1,1,1,1,1
A,105,1,1,1.36E-23,1,1,1,1,1
A,106,1,1,1.99E-21,1,1,1,1,1
A,107,1,1,1.28E-25,1,1,1,1,1
A,108,1,1,3.47E-24,1,1,1,1,1
A,109,1,1,4.46E-18,1,1,1,1,1
A,110,1,1,6.43E-19,1,1,1,1,1
A,111,1,1,7.84E-23,1,1,1,1,1
A,112,1,1,6.21E-22,1,1,1,1,1
A,113,1,1,4.46E-19,1,1,1,1,1
A,114,1,1,9.23E-22,1,1,1,1,1
A,115,1,1,1.25E-22,1,1,1,1,1
A,116,1,1,2.70E-19,1,1,1,1,1
A,117,1,1,1.29E-22,1,1,1,1,1
B,0,0.972938538,9.89E-19,1,6.51E-12,0.871222377,2.58E-34,0.005903316,1.77E-37
B,1,0.648908198,0,1,8.23E-36,0.006674518,0,7.24E-16,0
B,2,0.299200267,0,1,0,0.000722548,0,8.32E-19,0
B,3,0.924125433,0,1,0,0.002740505,0,5.28E-23,0
B,4,0.970608354,0,1,0,0.010982234,0,2.35E-21,0
B,5,0.77831316,0,1,0,0.0005866,0,1.72E-24,0
B,6,0.896148324,0,1,0,0.003423872,0,1.59E-21,0
B,7,0.999666452,3.16E-20,1,6.17E-10,0.999135435,0,0.993697822,0
B,8,0.909820437,2.64E-11,1,0.000271387,0.844115317,2.99E-19,0.656296551,4.89E-21
B,9,0.503528476,1.18E-07,1,0.057256885,0.383950174,1.32E-10,0.243589878,2.02E-11
B,10,0.41277343,6.21E-05,0.999985456,0.181754291,0.311036527,1.75E-06,0.21144107,6.68E-07
B,11,0.980552256,6.18E-14,1,6.31E-06,0.961073816,2.30E-25,0.869573593,7.68E-28
B,12,0.780050337,7.70E-10,1,0.002526714,0.66954118,1.69E-15,0.460196406,7.71E-17
B,13,0.999854922,4.61E-22,1,7.70E-11,0.999603808,0,0.996623516,0
B,14,0.779440522,2.53E-07,1,0.004132398,0.674574673,2.68E-12,0.487706602,2.33E-13
B,15,0.98003906,1.73E-17,1,4.00E-06,0.958487868,6.62E-30,0.845531464,8.61E-33
B,16,0.562397003,5.62E-11,1,0.029207429,0.428739369,2.61E-15,0.250155628,1.38E-16
B,17,0.745639861,2.94E-12,1,0.002692253,0.621319354,2.69E-18,0.391494006,7.10E-20
B,18,0.352239639,2.00E-05,0.999984264,0.003387213,0.168476686,2.64E-06,0.003682436,1.43E-06
B,19,0.86038655,9.19E-14,1,0.000490917,0.766827345,1.57E-21,0.528775692,1.79E-23
B,20,1,1,4.90E-10,1,1,1,1,1
B,21,1,1,9.85E-11,1,1,1,1,1
B,22,1,1,1.48E-11,1,1,1,1,1
B,23,0.813842535,2.14E-12,1,0.001210127,0.706336081,3.63E-19,0.472936124,7.25E-21
B,24,0.582493424,3.71E-10,1,0.01940519,0.451691896,2.49E-14,0.273947388,1.69E-15
B,25,0.98753345,2.30E-14,1,2.39E-06,0.974267662,1.05E-26,0.905412912,2.41E-29
B,26,0.419011384,9.07E-21,1,9.24E-15,0.05738008,1.99E-33,3.46E-07,4.91E-36
B,27,0.999596298,6.97E-19,1,1.10E-09,0.99897939,1.82E-38,0.99308008,0
B,28,0.924287319,1.11E-11,1,0.000167167,0.866555095,5.01E-20,0.689586759,6.74E-22
B,29,0.480416,3.49E-06,0.999999523,0.094377398,0.367628902,1.98E-08,0.243792236,4.92E-09
C,0,0.460286647,7.09E-07,0.999999881,0.104789563,0.346949995,2.58E-09,0.223429546,5.23E-10
C,1,1,1,3.50E-08,1,1,1,1,1
C,2,0.999999881,0.999999762,3.93E-07,1,0.999999762,1,0.999998689,1
C,3,0.998931587,0.993483603,0.008046121,0.999571741,0.998218,0.998111248,0.991953075,0.997267008
C,4,0.418668807,3.45E-05,0.999992609,0.170076847,0.315418512,7.60E-07,0.213053316,2.69E-07
C,5,1,0.999999881,9.60E-08,1,0.999999881,1,0.999999642,1
C,6,0.983669341,3.73E-05,0.999995947,0.940724313,0.974213004,2.49E-07,0.936390877,3.27E-08
C,7,0.531422973,1.07E-09,1,0.043375324,0.403290153,1.97E-13,0.242405251,1.60E-14
C,8,0.999342859,0.998553574,0.001936719,0.999893904,0.999016404,0.999673009,0.99742198,0.999520302
C,9,0.483660519,6.85E-07,0.999999881,0.073129244,0.368219197,1.88E-09,0.23902306,3.77E-10
C,10,0.531436443,9.66E-10,1,0.043528985,0.40314427,1.71E-13,0.241982609,1.38E-14
C,11,0.47242102,2.25E-07,1,0.09056285,0.356300622,4.92E-10,0.226623803,8.54E-11
C,12,0.547273993,7.81E-10,1,0.033903986,0.418067336,1.06E-13,0.252010524,8.20E-15
C,13,0.957809567,0.49108386,0.653577328,0.977031171,0.937947631,0.441704392,0.884183168,0.346251428
C,14,0.999928355,0.999806941,0.000276359,0.999991655,0.999892473,0.999966979,0.999670506,0.999940038
C,15,0.48199299,9.23E-08,1,0.080620296,0.363742411,1.34E-10,0.229109898,2.06E-11
C,16,1,1,4.68E-09,1,1,1,1,1
C,17,1,1,1.26E-10,1,1,1,1,1
C,18,0.850555539,1.38E-20,1,0.000211682,0.739119947,3.88E-30,0.431670517,7.37E-33
C,19,0.998931587,0.993483603,0.008046121,0.999571741,0.998218,0.998111248,0.991953075,0.997267008
C,20,1,1,4.03E-07,1,1,0.999999881,1,0.999988556
C,21,1,0.999999881,2.13E-06,1,1,0.999999285,1,0.9998914
C,22,1,0.999999881,9.53E-06,1,1,0.999992132,1,0.996192336
C,23,0.990415812,2.54E-19,1,0.017286254,0.981540918,3.56E-28,0.922032058,4.94E-31
C,24,1,1.13E-05,1,1,1,2.78E-11,1,1.23E-14
C,25,1,0.962811649,0.874230206,1,1,0.007897501,1,7.20E-06
C,26,1,1,5.75E-16,1,1,1,1,1
C,27,0.999997377,6.77E-28,1,0.514511406,0.999994278,0,0.999926925,0
C,28,1,1.61E-17,1,0.999920964,0.999999881,6.94E-27,0.999999046,9.91E-31
C,29,0.652546108,8.92E-15,1,0.008488216,0.508136868,7.36E-21,0.276798189,1.13E-22
C,30,1,1,5.78E-10,1,1,1,1,0.999999881
C,31,1,1,3.53E-12,1,1,1,1,1
C,32,1,4.94E-16,1,1,1,1.85E-26,1,2.21E-31
C,33,0.999999046,1.70E-22,1,0.974572122,0.999997854,8.91E-34,0.99997592,5.26E-38
C,34,0.918039203,3.53E-29,1,1.71E-05,0.830166698,0,0.467987061,0
C,35,1,1,2.54E-05,1,1,0.999901175,1,0.486097068
C,36,1,1,5.92E-12,1,1,1,1,0.999999881
C,37,1,1.27E-12,1,0.999999523,1,4.68E-20,0.999999881,2.08E-23
C,38,0.828025758,6.91E-22,1,0.000309095,0.702449143,1.37E-31,0.378833979,1.94E-34
C,39,1,0.999966145,0.001547414,1,1,0.997569382,1,0.619729757
C,40,1,1,1.39E-19,1,1,1,1,1
