id,21200506,21200509,21200513,21200516,21200520,21200523,21200527,21200530,21200603,21200606,21200610,21200613,21200617,21200620,21200624,21200627
0,78643.69999999819,89929.90000000337,90292.00000000298,90813.00000000253,88414.50000000316,89969.50000000278,90967.9000000027,88444.40000000248,85067.70000000186,47885.39999999572,47980.99999999518,47825.19999999582,47222.599999995946,46758.999999995845,48750.99999999586,49609.699999996
1,771052.8999990643,796346.5999990014,755276.6999990699,812101.7999990127,725563.5999990791,798725.5999990072,764044.3999990993,787957.6999989846,739645.499999088,729016.499999041,722027.3999990748,730044.1999990857,710032.2999990879,689916.69999913,722548.9999990705,720698.0999990978
2,261042.70000007184,273327.70000005903,273975.30000005907,282719.80000004696,265159.80000006116,284374.50000004657,281483.8000000474,275905.000000054,265217.10000006494,188855.2000000713,189909.50000007302,187744.80000007065,179518.3000000693,173215.2000000667,181868.4000000671,185385.10000007032
3,63676.099999998485,69158.89999999906,67061.19999999835,69806.59999999942,66112.39999999866,74123.6999999991,67962.89999999879,73143.49999999933,65440.29999999877,42948.29999999894,43001.09999999893,43019.499999999,42223.49999999889,40805.999999999134,43233.999999998894,42446.499999999025
4,59931.599999999424,61006.29999999935,62227.09999999926,61576.19999999947,60450.39999999946,66373.99999999921,62430.49999999954,65159.19999999951,61018.999999999374,38192.79999999963,38394.49999999965,38609.499999999636,37349.39999999961,36766.89999999973,38668.59999999962,38009.2999999996
5,60355.799999995674,67736.29999999562,66824.39999999508,69492.09999999647,64799.79999999509,71226.4999999963,66803.0999999948,69896.4999999954,64084.59999999529,37012.59999999711,36819.49999999666,35331.899999997455,34703.699999997385,34382.99999999733,35426.09999999751,35357.899999997346
6,56864.69999999909,62663.399999999165,63972.599999998994,64423.499999998894,62222.59999999923,60193.399999998925,63790.19999999923,59139.99999999922,59926.29999999922,21020.999999999833,21318.99999999985,21514.59999999976,21441.09999999988,21204.299999999792,22318.999999999814,22935.699999999804
7,42623.29999999959,49295.49999999955,47451.299999999464,49311.799999999486,45997.899999999325,52297.499999999294,47563.09999999939,51460.39999999924,44315.19999999933,35218.899999999485,35600.599999999744,35970.29999999966,35259.19999999966,35278.09999999966,35747.899999999674,35715.69999999948
8,348652.19999996666,390425.6999999504,394587.29999994935,402850.49999993684,383680.79999994143,395417.9999999474,395301.7999999448,384833.69999994297,372421.59999995586,185451.8000000566,185098.50000005765,187413.50000005536,184310.50000005314,180589.90000005305,192453.30000005802,194770.60000005268
9,857451.7999993364,927815.4999993455,923735.1999993044,959354.7999993411,892619.3999993167,948582.1999992908,924065.5999993295,916022.2999993148,879054.7999993373,546384.7999996657,546322.8999996674,551710.1999996505,529292.699999667,520758.99999969004,540525.0999996695,542625.5999996699
