city,data,index,inf,loc,loc_num
E,21200501,29861.599999991427,0,0,50023.0
E,21200502,29861.599999991427,0,0,50023.0
E,21200503,29861.59999999143,0,0,50023.0
E,21200504,30311.13999999128,0,0,50299.6
E,21200505,30311.13999999128,0,0,50299.6
E,21200506,29861.599999991427,0,0,50023.0
E,21200507,30760.679999991127,0,0,50576.2
E,21200508,30910.526666657734,0,0,50668.4
E,21200509,32109.299999990668,0,0,51406.0
E,21200510,31509.913333324203,0,0,51037.2
E,21200511,31387.4377777684,0,0,51400.4
E,21200512,31146.817037027653,0,0,51398.53333333333
E,21200513,30543.099999990347,0,0,51758.0
E,21200514,31316.072345669738,0,0,51693.51111111111
E,21200515,31372.49078188377,0,0,51791.83703703704
E,21200516,32258.29999999122,0,0,51924.0
E,21200517,31815.39539093749,0,0,51857.91851851851
E,21200518,31281.998463639902,0,0,51506.97283950617
E,21200519,30956.564618189466,0,0,51367.96378600822
E,21200520,29772.29999999101,0,0,50739.0
E,21200521,30330.621539390795,0,0,50635.987928669405
E,21200522,30121.973846457906,0,0,50391.99597622314
E,21200523,30262.999999991913,0,0,49801.0
E,21200524,30192.486923224908,0,0,50096.49798811157
E,21200525,30587.995641069283,0,0,50476.832662703855
E,21200526,30696.327521428408,0,0,50702.110216938476
E,21200527,31308.49999999103,0,0,51533.0
E,21200528,30829.30917380328,0,0,51009.70340564616
E,21200529,30873.63639126157,0,0,51112.23446854873
E,21200530,30483.09999999041,0,0,50794.0
E,21200531,30678.368195625986,0,0,50953.11723427437
E,21200601,30121.15606520293,6,0,50351.37241142478
E,21200602,30000.50808694044,0,0,50203.829881899714
E,21200603,29201.999999992404,2,0,49307.0
E,21200604,29911.769362308016,4,0,49688.60996063324
E,21200605,29882.189787430543,7,0,49516.869986877755
E,21200606,30532.799999991217,5,0,49555.0
E,21200607,30207.49489371088,14,0,49535.934993438874
E,21200608,29862.6649645649,2,0,49064.31166447963
E,21200609,29639.286619422797,2,0,48900.74888597283
E,21200610,28847.699999992623,8,0,48102.0
E,21200611,29878.66220646902,5,0,49275.582961990935
E,21200612,29878.662206469024,30,0,49275.582961990935
E,21200613,31148.999999991636,12,0,50824.0
E,21200614,30302.108137643227,43,0,49791.72197466061
E,21200501,40881.19999998743,0,1,49546.0
E,21200502,40881.19999998743,0,1,49546.0
E,21200503,40881.19999998743,0,1,49546.0
E,21200504,41311.479999987234,0,1,49899.8
E,21200505,41311.479999987234,0,1,49899.8
E,21200506,40881.19999998743,0,1,49546.0
E,21200507,41741.75999998704,0,1,50253.6
E,21200508,41885.18666665364,0,1,50371.53333333333
E,21200509,43032.59999998644,0,1,51315.0
E,21200510,42458.89333332004,0,1,50843.26666666666
E,21200511,42081.5644444314,0,1,50577.755555555545
E,21200512,41764.55259257972,0,1,50332.0074074074
E,21200513,40753.19999998774,0,1,49575.0
E,21200514,42117.417530851315,0,1,50248.66913580246
E,21200515,42235.03917694185,0,1,50220.88971193415
E,21200516,43834.499999986496,0,1,50839.0
E,21200517,43034.76958846417,0,1,50529.94485596707
E,21200518,42598.05652947921,0,1,50500.648285322364
E,21200519,42185.908705976784,0,1,50387.86438042981
E,21200520,40924.89999998697,0,1,50133.0
E,21200521,41663.602901983766,0,1,49980.62146014327
E,21200522,41489.50096731942,0,1,49844.87382004776
E,21200523,41879.999999987536,0,1,49421.0
E,21200524,41684.75048365348,0,1,49632.936910023884
E,21200525,41766.58349454261,0,1,49966.31230334129
E,21200526,41728.77799272764,0,1,50148.08307112172
E,21200527,41734.999999986816,0,1,50845.0
E,21200528,41568.89266423393,0,1,50309.027690373914
E,21200529,41515.59755473602,0,1,50362.67589679131
E,21200530,41242.89999998733,0,1,49934.0
E,21200531,41379.24877736168,0,1,50148.33794839565
E,21200601,40602.84959244584,1,1,49451.779316131884
E,21200602,40389.49945659868,0,1,49291.03908817584
E,21200603,39186.39999998851,12,1,48273.0
E,21200604,40534.2331521913,14,1,49117.67969605861
E,21200605,40582.477717388836,28,1,49059.89323201954
E,21200606,42026.79999998672,10,1,49789.0
E,21200607,41304.63885868778,18,1,49424.446616009765
E,21200608,40582.94628622119,11,1,49071.48220533658
E,21200609,40101.66171496602,9,1,48832.30960711545
E,21200610,38417.39999998909,23,1,48001.0
E,21200611,40373.92057164748,37,1,48906.43653570514
E,21200612,40373.92057164748,42,1,48906.43653570514
E,21200613,42602.69999998732,23,1,49886.0
E,21200614,41116.84704776076,35,1,49232.957690470095
E,21200501,68873.29999998848,0,2,39883.0
E,21200502,68873.29999998848,0,2,39883.0
E,21200503,68873.29999998848,0,2,39883.0
E,21200504,69598.09999998884,0,2,40334.8
E,21200505,69598.09999998884,0,2,40334.8
E,21200506,68873.29999998848,0,2,39883.0
E,21200507,70322.89999998921,0,2,40786.6
E,21200508,70564.49999998933,0,2,40937.2
E,21200509,72497.29999999031,0,2,42142.0
E,21200510,71530.89999998982,0,2,41539.60000000001
E,21200511,70617.56666665548,0,2,41318.2
E,21200512,69990.9888888772,0,2,41043.60000000001
E,21200513,67824.49999998628,0,2,40273.0
E,21200514,70521.42962961894,0,2,40988.86666666667
E,21200515,70698.24320986617,0,2,40970.62222222221
E,21200516,73748.79999999334,0,2,41650.0
E,21200517,72223.52160492976,0,2,41310.311111111114
E,21200518,70902.17386830317,0,2,41194.770370370374
E,21200519,69953.29849107313,0,2,41043.027160493824
E,21200520,66734.19999998639,0,2,40624.0
E,21200521,69670.46616368373,0,2,40903.009053497946
E,21200522,69576.18872122059,0,2,40856.33635116599
E,21200523,72323.89999999166,0,2,41042.0
E,21200524,70950.04436060612,0,2,40949.168175582985
E,21200525,70988.98145352904,0,2,40921.72272519433
E,21200526,70544.00860470817,0,2,40881.63030025911
E,21200527,69692.99999998933,0,2,40774.0
E,21200528,70121.50286822862,0,2,40967.543433419705
