21200501,0,0,61.2429
21200501,0,1,1.3497
21200501,0,15,0.0422
21200501,0,19,0.0422
21200501,0,2,0.2531
21200501,0,6,0.0844
21200501,1,0,1.5184
21200501,1,1,35.0924
21200501,1,13,0.0422
21200501,1,15,0.0422
21200501,1,2,7.7608
21200501,1,3,0.0844
21200501,1,4,0.1687
21200501,1,6,0.0422
21200501,1,7,0.0422
21200501,1,8,0.0422
21200501,10,10,9.1527
21200501,10,14,0.2531
21200501,10,15,0.1265
21200501,10,16,0.0422
21200501,10,28,0.0422
21200501,10,3,0.0422
21200501,10,4,0.0422
21200501,10,7,4.2178
21200501,10,8,6.4533
21200501,10,9,8.5200
21200501,11,11,19.8238
21200501,11,12,0.6749
21200501,11,13,14.2563
21200501,11,15,1.8137
21200501,11,16,3.7117
21200501,11,17,3.1212
21200501,11,19,0.8014
21200501,11,20,0.9701
21200501,11,21,0.6749
21200501,11,22,0.0844
21200501,11,23,0.7170
21200501,11,24,0.8014
21200501,11,25,0.2531
21200501,11,27,0.2952
21200501,11,28,0.1265
21200501,11,29,0.0422
21200501,11,3,0.0844
21200501,11,4,0.2952
21200501,11,5,0.1265
21200501,11,6,0.1265
21200501,11,7,0.1265
21200501,12,11,0.8857
21200501,12,12,23.8729
21200501,12,13,2.9103
21200501,12,15,4.4709
21200501,12,16,3.8804
21200501,12,17,1.6871
21200501,12,18,0.0422
21200501,12,19,1.9402
21200501,12,20,0.5061
21200501,12,21,0.4640
21200501,12,23,0.8436
21200501,12,24,0.6327
21200501,12,25,0.3374
21200501,12,27,0.1265
21200501,12,28,0.0422
21200501,12,29,0.0844
21200501,12,3,0.2952
21200501,12,5,0.0422
21200501,12,6,0.1687
21200501,13,11,14.1297
21200501,13,12,2.5729
21200501,13,13,43.0219
21200501,13,15,11.8521
21200501,13,16,21.1735
21200501,13,17,15.7747
21200501,13,19,4.9770
21200501,13,20,4.4287
21200501,13,21,2.1933
21200501,13,22,0.2531
21200501,13,23,2.6151
21200501,13,24,2.7416
21200501,13,25,1.0966
21200501,13,26,0.0422
21200501,13,27,0.4640
21200501,13,28,0.4640
21200501,13,29,0.1265
21200501,13,3,0.7592
21200501,13,4,0.8857
21200501,13,5,0.2952
21200501,13,6,0.2531
21200501,13,7,0.2109
21200501,13,8,0.3374
21200501,13,9,0.1687
21200501,14,10,0.4218
21200501,14,13,0.0422
21200501,14,14,12.2317
21200501,14,15,0.0844
21200501,14,19,0.0422
21200501,14,26,0.2109
21200501,14,7,1.5184
21200501,14,8,0.5061
21200501,14,9,1.7293
21200501,15,10,0.0422
21200501,15,11,1.8558
21200501,15,12,4.3022
21200501,15,13,10.8820
21200501,15,15,47.9146
21200501,15,16,41.8831
21200501,15,17,15.2264
21200501,15,19,30.7902
21200501,15,20,12.1474
21200501,15,21,4.6818
