,s_region,e_region,index
0,J_0,J_0,29.900000000000112
1,J_0,J_1,0.6
2,J_0,J_2,0.2
3,J_0,J_4,0.30000000000000004
4,J_0,J_5,0.2
5,J_0,J_6,0.5
6,J_1,J_0,0.5
7,J_1,J_1,248.89999999999057
8,J_1,J_2,130.39999999999745
9,J_1,J_3,9.999999999999984
10,J_1,J_4,49.80000000000039
11,J_1,J_5,67.5000000000004
12,J_1,J_6,32.80000000000015
13,J_2,J_0,0.2
14,J_2,J_1,125.19999999999764
15,J_2,J_2,66.80000000000048
16,J_2,J_3,6.699999999999994
17,J_2,J_4,20.900000000000013
18,J_2,J_5,44.900000000000325
19,J_2,J_6,18.699999999999992
20,J_3,J_1,9.799999999999983
21,J_3,J_2,7.89999999999999
22,J_3,J_3,98.5999999999996
23,J_3,J_4,1.9000000000000006
24,J_3,J_5,4.6
25,J_3,J_6,1.3000000000000003
26,J_3,J_7,0.1
27,J_4,J_0,0.5
28,J_4,J_1,47.00000000000037
29,J_4,J_2,22.300000000000033
30,J_4,J_3,1.8000000000000003
31,J_4,J_4,110.19999999999861
32,J_4,J_5,97.19999999999904
33,J_4,J_6,134.89999999999725
34,J_4,J_7,0.5
35,J_5,J_0,0.2
36,J_5,J_1,62.100000000000584
37,J_5,J_2,40.20000000000027
38,J_5,J_3,4.6000000000000005
39,J_5,J_4,88.69999999999938
40,J_5,J_5,106.29999999999855
41,J_5,J_6,90.79999999999926
42,J_5,J_7,0.4
43,J_6,J_0,0.6
44,J_6,J_1,33.90000000000016
45,J_6,J_2,20.099999999999998
46,J_6,J_3,2.0000000000000004
47,J_6,J_4,135.49999999999727
48,J_6,J_5,98.499999999999
49,J_6,J_6,110.09999999999836
50,J_6,J_7,0.6
51,J_7,J_4,0.5
52,J_7,J_5,0.1
53,J_7,J_6,0.4
54,J_7,J_7,27.90000000000003
